순위	관광지명	광역시/도	시/군/구	도로명주소	중분류 카테고리	소분류 카테고리	검색건수
376	사문진선착장	대구광역시	달성군	대구 달성군 사문진로1길 40-14	기타관광	교통시설	213
377	가르뱅이공원	대구광역시	서구	대구 서구	문화관광	도시공원	211
377	대현어린이공원	대구광역시	북구	대구 북구	문화관광	도시공원	211
379	향촌문화관	대구광역시	중구	대구 중구 중앙대로 449-0	문화관광	기타문화관광지	210
380	대구근대역사관	대구광역시	중구	대구 중구 경상감영길 67-0	문화관광	전시시설	208
381	서문시장1지구	대구광역시	중구	대구 중구 큰장로28길 10-0	쇼핑	시장	206
381	임휴사	대구광역시	달서구	대구 달서구 앞산순환로 12-25	역사관광	종교성지	206
383	달구벌승마공원	대구광역시	달성군	대구 달성군 명곡로 118-0	레저스포츠	육상레저스포츠	205
383	세천리틀야구장	대구광역시	달성군	대구 달성군	문화관광	레저스포츠시설	205
383	대구간송미술관건축중(2023년07월 완공예정)	대구광역시	수성구	대구 수성구	문화관광	전시시설	205
386	녹동서원	대구광역시	달성군	대구 달성군 우록길 218-0	역사관광	역사유적지	203
386	낙동강승전기념관	대구광역시	남구	대구 남구 앞산순환로 574-116	문화관광	전시시설	203
388	태전중앙시장	대구광역시	북구	대구 북구 태전로 15-0	쇼핑	시장	202
389	송해기념관	대구광역시	달성군	대구 달성군 옥포로56길 5-0	문화관광	전시시설	201
390	사커홍유소년축구클럽	대구광역시	달서구	대구 달서구 조암남로20길 63-0	레저스포츠	기타레저스포츠	200
390	타요키즈카페월성점	대구광역시	달서구	대구 달서구 조암로 17-0	문화관광	테마공원	200
392	영남난농원	대구광역시	동구	대구 동구 팔공로 42-0	체험관광	농/산/어촌체험	198
393	가창용계체육공원	대구광역시	달성군	대구 달성군	문화관광	도시공원	196
393	노사평화의 전당	대구광역시	달성군	대구 달성군 국가산단대로52길 6-0	문화관광	기타문화관광지	196
395	보현사	대구광역시	중구	대구 중구 문우관길 65-0	역사관광	종교성지	195
396	여우별아트홀	대구광역시	중구	대구 중구 동성로3길 35-0	문화관광	공연시설	194
397	최정산	대구광역시	달성군	대구 달성군	자연관광	자연경관(산)	191
398	리틀비틀죽전점	대구광역시	달서구	대구 달서구 달구벌대로 1525-0	문화관광	테마공원	189
399	화원식염온천	대구광역시	달성군	대구 달성군 비슬로530길 29-15	체험관광	웰니스관광	187
400	슈슈봉봉디노	대구광역시	남구	대구 남구 용두2길 42-0	문화관광	테마공원	186
401	다사파크골프장	대구광역시	달성군	대구 달성군	레저스포츠	육상레저스포츠	184
402	서변중앙시장	대구광역시	북구	대구 북구 호국로43길 27-0	쇼핑	시장	183
402	동아롤러파크	대구광역시	수성구	대구 수성구 지범로 59-0	레저스포츠	육상레저스포츠	183
404	옥포항수산식당	대구광역시	달성군	대구 달성군 원전1길 14-0	쇼핑	시장	176
405	역전시장	대구광역시	동구	대구 동구 동부로16길 9-0	쇼핑	시장	175
406	침산공원벚꽃계단	대구광역시	북구	대구 북구 침산남로9길 118-0	기타관광	기타관광	173
406	옥포용연사벚꽃길	대구광역시	달성군	대구 달성군	기타관광	기타관광	173
406	남대영기념관	대구광역시	남구	대구 남구 현충로 20-0	문화관광	전시시설	173
409	신서축구장	대구광역시	동구	대구 동구	문화관광	레저스포츠시설	171
410	검단강변야구장	대구광역시	북구	대구 북구	문화관광	레저스포츠시설	165
411	중평시장	대구광역시	서구	대구 서구 서대구로17길 16-0	쇼핑	시장	164
411	화원천내시장	대구광역시	달성군	대구 달성군 화원로7길 1-0	쇼핑	시장	164
411	선사유적공원	대구광역시	달서구	대구 달서구	문화관광	도시공원	164
414	대구스포츠기념관	대구광역시	수성구	대구 수성구 유니버시아드로 180-0	문화관광	전시시설	162
415	축산물도매시장	대구광역시	북구	대구 북구 검단북로11길 11-0	쇼핑	시장	161
416	수성하이츠쇼핑몰	대구광역시	수성구	대구 수성구 수성로 393-0	쇼핑	쇼핑몰	160
417	수성못벚꽃길	대구광역시	수성구	대구 수성구	기타관광	데이트코스	159
417	소재사	대구광역시	달성군	대구 달성군 일연선사길 77-0	역사관광	종교성지	159
419	태전공원	대구광역시	북구	대구 북구 칠곡중앙대로 397-20	문화관광	도시공원	157
420	삼보사	대구광역시	수성구	대구 수성구 파동로22길 47-0	역사관광	종교성지	156
421	대구스타디움서편광장	대구광역시	수성구	대구 수성구 유니버시아드로42길 125-0	문화관광	도시공원	155
421	대구체육공원암벽등반장	대구광역시	수성구	대구 수성구 유니버시아드로 180-0	레저스포츠	육상레저스포츠	155
423	갓바위공원	대구광역시	동구	대구 동구 갓바위로 229-0	문화관광	도시공원	154
424	달서구 도원동 별메마을	대구광역시	달서구	대구 달서구	문화관광	도시/지역문화관광	153
424	바로마켓경상북도점	대구광역시	북구	대구 북구 구리로 55-0	쇼핑	시장	153
426	달성하목정	대구광역시	달성군	대구 달성군 하목정길 56-10	역사관광	역사유적지	152
426	서봉사	대구광역시	남구	대구 남구 명덕로54길 34-0	역사관광	종교성지	152
428	법왕사	대구광역시	수성구	대구 수성구 파동로51길 96-0	역사관광	종교성지	150
429	한샘공원	대구광역시	달서구	대구 달서구	문화관광	도시공원	149
430	광덕시장	대구광역시	남구	대구 남구 자유6길 50-0	쇼핑	시장	148
430	팔현도시텃밭	대구광역시	수성구	대구 수성구	체험관광	농/산/어촌체험	148
430	파크골프현풍원오교구장(휴장중)	대구광역시	달성군	대구 달성군	레저스포츠	육상레저스포츠	148
433	대구유가한정벚꽃축제	대구광역시	달성군	대구 달성군 달창로26길 17-0	문화관광	기타문화관광지	147
434	신라조경농원	대구광역시	달성군	대구 달성군	체험관광	농/산/어촌체험	146
