Id, Name, Latitude, Longitude, City_id, Address, Category_id, Subcategory_id, Created_at, Updated_at
39,달서구청소년수련관,128.55945,35.8072,27,대구 달서구 상화로 420-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:42
40,렛츠런CCC대구지점,128.63617,35.788704,27,대구 달성군 가창로175길 6-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:43
41,두류공원인라인스케이트장,128.5616,35.84458,27,대구 달서구 공원순환로 216-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:43
42,대덕승마장,128.55394,35.82198,27,대구 달서구 앞산순환로 206-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:44
43,만촌자전거경기장,128.65826,35.872906,27,대구 수성구 팔현길 241-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:44
44,대구수성구청소년수련관,128.63237,35.845013,27,대구 수성구 청수로45길 100-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:44
45,서재파크골프장,128.50932,35.87852,27,대구 달성군 다사읍 다사로 822,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:45
46,파크골프현풍원오교구장,128.41905,35.69169,27,대구광역시 달성군 현풍읍 원교리 884-4,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:45
47,만촌실내롤러스케이트장,128.65826,35.872906,27,대구 수성구 팔현길 241-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:46
48,대구아이스파크,128.64848,35.893227,27,대구 동구 입석로1길 69-4,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:46
49,대구교육낙동강수련원,128.37694,35.66804,27,대구 달성군 구지서로 131-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:47
50,수림지파크골프장,128.50156,35.81762,27,대구 달서구 달서대로 241-13,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:47
51,수성실내아이스링크장,128.61281,35.826836,27,대구 수성구 용학로 35-5,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:47
52,대구교육팔공산수련원,128.6579,35.997963,27,대구 동구 용천로 538-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:48
53,다사파크골프장,128.46669,35.865845,27,대구 달성군 다사읍 매곡리 344-3,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:48
54,이월드83타워아이스링크,128.56482,35.854855,27,대구 달서구 두류공원로 200-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:49
55,놀고롤러스케이트장,128.53413,35.84577,27,대구 달서구 장기로 242-0,1002,10006,2023-06-20 01:02:31,2023-06-20 01:03:49
56,달구벌승마공원,128.49591,35.788677,27,대구 달성군 명곡로 118-0,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:49
57,비슬승마체험장,128.47658,35.788765,27,대구 달성군 비슬로468길 43-0,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:50
58,대구체육공원암벽등반장,128.69016,35.829937,27,대구 수성구 유니버시아드로 180-0,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:50
59,팔현파크골프장,128.67432,35.87004,27,대구 수성구 고모동 20-3,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:51
60,동아롤러파크,128.62938,35.826027,27,대구 수성구 지범로 59-0,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:51
61,강창파크골프장,128.47159,35.857506,27,대구 달성군 다사읍 매곡리 91,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:52
62,수성구청소년수련원,128.67232,35.799034,27,대구 수성구 진밭길 409-0,1002,10006,2023-06-20 01:02:32,2023-06-20 01:03:52
63,롯데시네마프리미엄만경,128.59036,35.87093,27,대구 중구 국채보상로 547-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:52
64,씨네80자동차극장,128.6944,35.987896,27,대구 동구 팔공산로 1184-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:53
65,CGV대구스타디움,128.68733,35.83166,27,대구 수성구 유니버시아드로 140-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:53
66,CGV대구월성,128.5268,35.824574,27,대구 달서구 조암로 29-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:54
67,CGV대구한일,128.59532,35.870438,27,대구 중구 동성로 39-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:54
68,코오롱야외음악당,128.55615,35.851086,27,대구 달서구 야외음악당로 180-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:55
69,롯데시네마성서,128.50777,35.854443,27,대구 달서구 성서로 414-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:55
70,메가박스대구이시아,128.63591,35.92067,27,대구 동구 팔공로49길 51-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:55
71,대구콘서트하우스,128.5937,35.87606,27,대구 중구 태평로 141-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:56
72,롯데시네마프리미엄칠곡,128.56386,35.94218,27,대구 북구 학정로 422-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:56
73,계명아트센터,128.48459,35.855927,27,대구 달서구 달구벌대로 1095-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:57
74,롯데시네마상인,128.53926,35.816437,27,대구 달서구 월곡로 247-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:57
75,수성아트피아휴관중(2022년11월01일개관예정),128.62828,35.829285,27,대구 수성구 무학로 180-0,1003,10007,2023-06-20 01:02:32,2023-06-20 01:03:58
76,CGV연경,128.62283,35.941433,27,대구 북구 동화천로 290-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:03:58
77,롯데시네마대구현풍,128.45631,35.693195,27,대구 달성군 테크노상업로 62-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:03:59
78,롯데시네마대구광장,128.5507,35.85572,27,대구 서구 달구벌대로 1691-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:03:59
79,롯데시네마율하,128.69333,35.868397,27,대구 동구 안심로 80-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:03:59
80,대덕문화전당,128.57687,35.8313,27,대구 남구 앞산순환로 478-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:00
81,CGV대구이시아,128.63736,35.921547,27,대구 동구 팔공로49길 16-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:00
82,롯데시네마동성로,128.59686,35.870182,27,대구 중구 동성로2길 95-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:01
83,CGV대구칠곡,128.56029,35.94414,27,대구 북구 동암로 90-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:01
84,메가박스대구,128.58978,35.885227,27,대구 북구 침산로 93-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:02
85,대구문화예술회관공연관,128.5595,35.845108,27,대구 달서구 공원순환로 201-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:02
86,메가박스대구신세계,128.62917,35.877705,27,대구 동구 동부로 149-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:03
87,메가박스북대구,128.56172,35.944073,27,대구 북구 동암로 100-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:03
88,공간울림,128.66882,35.828007,27,대구 수성구 범안로64길 18-9,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:04
89,CGV대구수성,128.64041,35.82108,27,대구 수성구 지범로 191-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:04
90,패션디자인개발지원센터,128.61176,35.906193,27,대구 북구 유통단지로14길 17-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:04
91,CGV대구아카데미,128.59431,35.869965,27,대구 중구 중앙대로 412-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:05
92,한영아트센터,128.61705,35.860027,27,대구 수성구 달구벌대로 2327-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:05
93,CGV대구현대,128.59062,35.86672,27,대구 중구 달구벌대로 2077-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:06
94,씨네큐대구이시아점,128.63736,35.921547,27,대구 동구 팔공로49길 16-0,1003,10007,2023-06-20 01:02:33,2023-06-20 01:04:06
95,대구공연예술연습공간,128.57558,35.859283,27,대구 남구 명덕로 42-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:07
96,대구학생문화센터대공연장,128.52948,35.853043,27,대구 달서구 용산로 181-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:07
97,여우별아트홀,128.59729,35.866932,27,대구 중구 동성로3길 35-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:08
98,대구음악창작소,128.58928,35.854935,27,대구 남구 중앙대로45길 53-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:08
99,호텔인터불고 엑스코그랜드볼룸,128.61119,35.90697,27,대구 북구 유통단지로 80-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:09
100,베리어스,128.67374,35.845913,27,대구 수성구 달구벌대로 2881-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:09
101,한울림소극장,128.58195,35.856213,27,대구 남구 계명중앙1길 35-1,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:09
102,EXCO오디토리움,128.6131,35.90717,27,대구 북구 엑스코로 10-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:10
103,소담아트홀,128.62773,35.836426,27,대구 수성구 청수로38길 56-0,1003,10007,2023-06-20 01:02:34,2023-06-20 01:04:10
104,아양아트센터,128.65193,35.87957,27,대구 동구 효동로2길 24-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:11
105,MRNW,128.60075,35.929977,27,대구 북구 호국로 300-22,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:11
106,네이처파크미라클크리스마스,128.63531,35.788116,27,대구 달성군 가창로 891-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:12
107,비슬산참꽃문화제,128.51292,35.690018,27,대구 달성군 일연선사길 99-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:12
108,호텔 인터불고 대구카지노,128.65977,35.874355,27,대구 수성구 팔현길 212-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:12
109,이월드별빛벚꽃축제,128.56482,35.854855,27,대구 달서구 두류공원로 200-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:13
110,수성못페스티벌,128.6209,35.82755,27,대구광역시 수성구 두산동 606,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:13
111,대구수목원국화전시회,128.52,35.800697,27,대구 달서구 화암로 342-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:14
112,향촌문화관,128.59416,35.873375,27,대구 중구 중앙대로 449-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:14
113,대구학생예술창작터,128.5522,35.878704,27,대구 서구 서대구로45길 22-0,1003,10008,2023-06-20 01:02:34,2023-06-20 01:04:15
114,노사평화의 전당,128.42,35.652676,27,대구 달성군 국가산단대로52길 6-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:15
115,고모역복합문화공간,128.67862,35.858234,27,대구 수성구 고모로 208,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:15
116,대구콘텐츠코리아랩,128.6248,35.872482,27,대구 동구 동대구로 471-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:16
117,달서목재문화관,128.55704,35.823242,27,대구 달서구 앞산순환로 248-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:16
118,대구꽃박람회,128.6131,35.90717,27,대구 북구 엑스코로 10-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:17
119,대구꽃박람회,128.6146,35.908047,27,대구 북구 유통단지로 110-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:17
120,가창카페 아트도서관,128.6551,35.72544,27,대구 달성군 우록길 131-0,1003,10008,2023-06-20 01:02:35,2023-06-20 01:04:18
121,옥연지송해공원,128.48029,35.78033,27,대구 달성군 옥포읍 기세리 306,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:18
122,두류공원,128.5637,35.850002,27,대구 달서구 두류공원로 161-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:18
123,228기념중앙공원,128.59717,35.869156,27,대구 중구 동성로2길 80-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:19
124,월광수변공원,128.54831,35.7988,27,대구 달서구 월곡로 5-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:19
125,달성공원,128.57591,35.87338,27,대구 중구 달성공원로 35-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:20
126,봉무공원,128.65056,35.91916,27,대구 동구 봉무동 산135-2,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:20
127,공룡공원,128.6034,35.829914,27,대구 남구 용두2길 43,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:21
128,경상감영공원,128.59229,35.872044,27,대구 중구 경상감영길 99-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:21
129,망우공원,128.65633,35.877316,27,대구 동구 효목동 산234-38,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:22
130,운암지수변공원,128.56752,35.93233,27,대구 북구 구암동 349,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:22
131,동대구역광장,128.62877,35.879436,27,대구 동구 동대구로 550-0,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:23
132,이곡장미공원,128.51479,35.85808,27,대구 달서구 이곡동 1306-6,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:23
133,수성패밀리파크,128.6731,35.87039,27,대구 수성구 팔현길 88-46,1003,10010,2023-06-20 01:02:35,2023-06-20 01:04:24
134,율하체육공원,128.69284,35.859924,27,대구 동구 금호강변로 278-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:24
135,강변축구장,128.59035,35.908955,27,대구 북구 조야로2길 113-30,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:24
136,국채보상운동기념공원,128.60341,35.868896,27,대구 중구 국채보상로 670-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:25
137,가창체육공원,128.65077,35.76721,27,대구 달성군 가창로 604-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:25
138,불로동고분공원,128.64763,35.91396,27,대구 동구 불로동 산5,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:26
139,다사체육공원,128.47794,35.890125,27,대구 달성군 다사로 441-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:26
140,앞산공원,128.58548,35.822483,27,대구 남구 앞산순환로 574-116,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:27
141,화원명곡체육공원,128.5036,35.79769,27,대구 달성군 화원읍 인흥1길 12,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:27
142,침산공원,128.58585,35.895195,27,대구 북구 침산동 1344-1,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:27
143,성서체육공원,128.49556,35.832443,27,대구 달서구 성서공단로22길 25-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:28
144,학산공원,128.53831,35.828117,27,대구 달서구 월성동 산10-1,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:28
145,앞산빨래터공원,128.5655,35.832165,27,대구 남구 대명동 1501-2,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:29
146,테크노폴리스중앙공원,128.45978,35.69143,27,대구 달성군 테크노공원로 60-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:29
147,서리지수변생태공원,128.56468,35.96572,27,대구 북구 동호동 73,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:29
148,달성노을공원,128.41515,35.736828,27,대구 달성군 논공읍 하리 899,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:30
149,월곡역사공원,128.5446,35.81798,27,대구 달서구 상인로 128-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:30
150,노원체육공원,128.56454,35.900764,27,대구 북구 노곡동 876,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:31
151,신기공원,128.60905,35.907406,27,대구 북구 유통단지로 61,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:31
152,대구어린이대공원,128.62778,35.846684,27,대구 수성구 동대구로 176-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:32
153,복현장미공원,128.61731,35.893368,27,대구 북구 경진로남1길 40-0,1003,10010,2023-06-20 01:02:36,2023-06-20 01:04:32
154,지산공원,128.63762,35.820934,27,대구 수성구 용학로 267-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:32
155,두류정수장후적지,128.55031,35.849926,27,대구 달서구 당산로 176-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:33
156,함지근린공원,128.5694,35.942535,27,대구 북구 동암로38길 12,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:33
157,갓바위공원,128.72623,35.9711,27,대구 동구 갓바위로 229-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:34
158,세천늪근린공원,128.47122,35.880535,27,대구 달성군 다사읍 세천리 289,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:34
159,공항교강변공원,128.62555,35.90162,27,대구 북구 복현동 163-16,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:35
160,신암공원,128.62367,35.889656,27,대구 동구 신암동 664-18,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:35
161,대구숲,128.62663,35.794693,27,대구 달성군 가창로 1003-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:35
162,옻골동산,128.57716,35.94337,27,대구 북구 구암동 산3-1,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:36
163,고산골,128.60266,35.824852,27,대구 남구 고산3길 95-1,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:36
164,화랑공원,128.63914,35.872078,27,대구 수성구 만촌로 151-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:37
165,선원공원,128.51503,35.859493,27,대구 달서구 선원로 203,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:37
166,진밭골산림공원,128.65276,35.815186,27,대구 수성구 범물동 921-1,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:37
167,서재체육공원,128.47801,35.88974,27,대구광역시 달성군 다사읍 달천리 155,1003,10010,2023-06-20 01:02:37,2023-06-20 01:24:14
168,대현어린이공원,128.61032,35.8844,27,대구광역시 북구 대현동 112-41,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:38
169,월광2수변공원,128.55038,35.80122,27,대구광역시 달서구 도원동 872-2,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:39
170,와룡윗공원,128.5007,35.85825,27,대구 달서구 선원남로 5-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:39
171,월배체육공원,128.5365,35.8016,27,대구 달서구 갈밭남로 76 월배국민체육센터,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:40
172,죽곡대나무숲,128.47,35.85088,27,대구광역시 달성군 다사읍 죽곡리 566-19,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:40
173,상화동산,128.62064,35.829464,27,대구 수성구 무학로 112-0,1003,10010,2023-06-20 01:02:37,2023-06-20 01:04:40
174,가창용계체육공원,128.62228,35.800854,27,대구광역시 달성군 가창면 용계리 124-1,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:41
175,신천술래잡이놀이터,128.60654,35.844044,27,대구광역시 남구 봉덕동 839-1,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:41
176,호림강나루공원,128.48463,35.83408,27,대구 달서구 대천동 900,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:42
177,태전공원,128.54608,35.931656,27,대구 북구 칠곡중앙대로 397-20,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:42
178,한실공원,128.53157,35.802914,27,대구 달서구 갈밭로4길 2-16,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:43
179,본리어린이공원,128.54315,35.840996,27,대구 달서구 본리동,1003,10010,2023-06-20 01:02:38,2023-06-20 01:04:43
